index,rank,Protocol,Domain,Primary,Path,Num_Paths,Num_Symbol
613983,7.06,0,3,11,29,3,6
641915,0.0,0,2,5,20,2,5
634119,5.09,0,3,6,44,4,8
624075,3.89,0,13,3,15,1,5
628156,5.08,0,3,8,13,1,4
648895,0.0,0,2,8,25,2,5
610293,4.99,0,17,13,19,1,5
609883,1.85,0,2,11,12,2,5
604095,6.53,0,7,3,15,1,3
642663,5.34,0,10,5,37,4,7
632236,2.77,0,3,8,16,3,5
638579,4.84,0,3,7,24,2,6
625161,5.54,0,3,8,36,1,7
624731,0.42,0,9,5,10,1,5
631241,3.75,0,3,11,34,3,8
632756,4.89,0,3,7,50,6,10
621102,4.74,0,3,7,59,5,12
643958,5.3,0,3,5,45,6,8
641056,5.2,0,8,5,40,4,8
616938,4.55,0,3,13,3,1,3
632476,5.53,0,3,9,8,2,3
626696,2.47,0,3,13,19,2,5
614153,3.97,0,3,17,29,2,5
641655,5.2,0,21,7,19,3,7
635321,5.27,0,3,6,30,3,5
625593,4.26,0,3,13,12,1,3
645492,5.37,0,12,8,33,3,6
617161,2.55,0,14,8,11,2,4
635667,4.56,0,3,3,15,2,4
643246,3.06,0,3,8,13,1,3
617803,4.56,0,3,6,56,4,10
629575,4.12,0,3,8,17,2,4
637209,3.47,0,8,10,12,1,5
630306,5.1,0,3,4,12,2,3
636557,5.13,0,3,8,19,2,6
608485,4.1,0,3,9,33,1,8
608985,5.39,0,5,13,19,2,6
611494,3.47,0,3,8,37,3,6
618511,4.98,0,3,7,38,4,10
459703,3.46,1,3,9,158,3,32
648478,5.07,0,3,6,27,3,7
607955,2.96,0,3,6,17,1,4
627703,3.36,0,3,9,8,1,4
607375,0.0,0,3,18,12,1,3
646436,4.64,0,3,3,22,2,5
645726,4.79,0,13,7,22,3,6
613520,4.71,0,12,6,31,4,7
612886,2.91,0,3,14,7,2,3
636887,3.55,0,3,11,27,2,4
624851,4.02,0,3,5,19,1,5
629960,4.84,0,3,12,12,3,5
632833,4.66,0,2,6,5,2,3
630195,2.82,0,3,4,40,3,6
641334,4.84,0,9,9,7,1,4
631760,3.96,0,3,13,24,3,6
624484,5.4,0,3,12,33,4,7
616345,2.37,0,15,7,10,1,5
631158,4.79,0,3,12,13,2,5
634280,4.65,0,3,7,18,3,5
610458,3.21,0,3,12,8,1,2
618292,4.37,0,3,12,20,2,5
617534,2.71,0,20,5,10,1,4
606287,1.34,0,3,16,13,1,4
642603,4.53,0,3,5,23,2,6
620582,4.8,0,3,5,21,2,5
624412,3.75,0,2,7,14,2,3
624046,4.56,0,7,5,16,2,5
633939,8.63,0,13,2,15,2,4
607781,3.45,0,5,10,17,2,6
603753,4.82,0,10,8,43,3,7
634774,4.26,0,3,10,21,2,5
607694,5.71,0,3,5,22,2,7
619305,4.23,0,3,11,13,1,4
635375,1.78,0,3,18,8,1,5
636266,2.9,0,3,13,22,1,6
606118,3.48,0,3,5,19,2,4
624711,0.0,0,3,15,11,2,4
608884,6.61,0,3,7,38,4,7
639503,3.44,0,3,7,18,3,5
610166,1.07,0,3,7,41,3,8
648263,3.99,0,3,8,19,1,5
613177,5.03,0,11,6,23,2,6
636102,4.83,0,3,14,12,2,4
620050,5.21,0,15,9,15,2,5
616849,4.52,0,14,2,9,1,4
640912,3.33,0,10,6,39,4,10
632366,4.96,0,3,8,22,2,4
627495,3.66,0,3,11,24,2,7
635142,4.76,0,3,12,21,2,5
613707,4.52,0,3,8,15,2,4
627338,0.0,0,15,6,16,1,5
608018,4.83,0,3,14,24,2,7
632864,3.81,0,3,7,7,1,2
610049,4.46,0,3,9,18,1,4
628149,2.57,0,3,13,52,5,10
617767,4.54,0,9,6,19,1,6
607487,2.64,0,3,7,11,1,4
604733,0.0,0,3,10,16,2,5
617374,4.13,0,3,7,22,2,5
615594,5.48,0,14,14,36,2,9
640809,3.22,0,11,10,18,2,5
632679,4.67,0,11,2,42,5,8
615103,5.31,0,2,5,38,3,7
613035,4.74,0,3,10,16,1,5
641363,8.63,0,13,2,33,2,8
630704,4.89,0,3,6,45,3,10
612857,2.17,0,9,4,9,1,5
637710,3.15,0,3,11,25,2,6
631086,2.72,0,15,4,37,5,9
619885,4.71,0,3,11,30,3,6
641519,3.3,0,3,7,18,2,4
635858,4.99,0,3,11,69,5,12
638729,6.71,0,3,10,57,2,10
353386,4.96,1,3,12,164,3,27
608802,0.0,0,10,7,16,1,4
648599,4.86,0,3,3,25,3,6
628856,5.27,0,14,2,31,4,7
642548,4.83,0,3,11,24,3,7
609067,5.72,0,13,4,17,3,7
625737,2.8,0,5,8,6,1,5
618290,5.0,0,7,7,52,5,9
608200,6.57,0,3,3,15,1,4
608819,0.0,0,15,5,11,1,4
630907,4.97,0,3,7,19,3,5
611772,4.66,0,3,13,18,2,5
605311,0.0,0,3,15,13,2,5
634584,5.25,0,5,6,48,5,9
637863,3.08,0,3,11,21,2,5
638752,3.31,0,3,7,19,2,4
643945,3.39,0,3,12,7,1,4
634467,2.74,0,13,9,14,1,4
603932,5.12,0,7,5,11,2,4
610581,4.7,0,7,13,10,2,4
605805,2.37,0,5,15,20,1,7
603671,4.62,0,15,2,6,2,5
647238,8.63,0,13,2,17,2,5
608677,3.72,0,7,7,17,2,5
618796,4.53,0,12,9,20,2,6
629967,4.55,0,11,3,26,3,8
636178,5.27,0,3,7,30,3,6
611470,5.06,0,7,5,30,4,7
611287,4.53,0,3,12,17,2,5
638480,4.79,0,13,7,29,3,7
608562,2.67,0,3,12,15,2,5
648019,2.74,0,10,8,11,1,4
617223,3.43,0,2,12,10,2,3
643251,4.14,0,3,7,27,2,5
610892,5.41,0,2,9,49,5,8
638638,2.82,0,3,11,21,1,6
644372,4.54,0,3,7,33,4,9
634808,4.59,0,3,7,30,1,6
620233,8.35,0,3,7,27,4,7
615706,6.22,0,3,14,18,3,4
643350,2.96,0,3,11,13,1,5
612708,3.75,0,3,13,8,1,4
604196,5.87,0,5,5,47,4,12
637954,3.26,0,3,6,31,3,6
614002,5.28,0,3,3,46,6,9
611004,5.43,0,8,4,27,3,6
612536,2.27,0,3,10,13,1,4
627558,4.95,0,3,13,4,2,4
603582,3.2,0,3,8,12,2,5
604823,5.27,0,3,6,26,3,6
647013,0.0,0,10,8,17,2,5
627678,5.03,0,7,10,16,2,5
604994,3.52,0,3,7,14,1,6
647457,5.74,0,3,9,23,3,5
634136,5.49,0,3,6,62,6,10
631255,4.86,0,3,13,18,1,3
615446,5.57,0,3,9,23,3,7
633913,2.63,0,2,4,18,2,5
644736,2.41,0,3,15,5,2,3
649576,3.88,0,3,7,26,3,6
637029,0.0,0,10,8,12,1,4
647215,5.33,0,3,5,15,2,4
629403,3.46,0,8,4,46,6,10
645601,2.61,0,3,17,15,2,4
642991,3.26,0,7,8,15,1,4
603733,1.34,0,3,12,14,1,4
644283,4.16,0,3,11,14,1,3
604578,5.02,0,3,16,27,2,5
628975,3.47,0,3,12,53,1,9
631281,4.14,0,3,7,18,2,5
645457,4.92,0,3,12,23,3,6
630566,4.53,0,3,10,3,1,3
631010,4.52,0,9,13,53,3,11
633304,6.33,0,3,8,49,2,13
648039,5.58,0,9,6,21,3,6
632457,3.72,0,3,5,28,3,8
643798,5.53,0,3,9,18,4,5
627809,4.79,0,14,6,48,4,11
618133,0.0,0,12,6,9,2,5
646698,3.6,0,3,15,15,2,4
631889,8.63,0,13,2,33,2,8
607660,1.83,0,3,14,20,1,4
642324,3.07,0,2,7,18,2,4
632532,5.13,0,3,5,25,3,7
647229,3.6,0,5,10,31,2,7
638332,5.17,0,7,5,13,3,5
603238,0.0,0,3,12,6,2,4
640223,4.73,0,3,9,30,4,8
641866,5.07,0,12,4,31,3,8
614784,5.68,0,3,10,10,3,4
648799,5.74,0,3,9,15,2,4
609663,3.94,0,3,12,32,1,6
619426,5.54,0,3,8,26,1,6
626947,3.07,0,3,5,34,1,7
633549,2.94,0,2,6,15,1,4
649289,5.74,0,3,9,23,3,5
646402,5.99,0,3,13,54,3,10
631113,5.22,0,9,3,30,4,8
252444,0.0,0,2,11,31,4,7
624172,3.43,0,3,12,65,5,13
612198,3.84,0,10,3,45,2,11
637345,3.21,0,3,17,19,2,5
605181,4.71,0,3,10,27,3,5
647653,0.0,0,3,17,18,2,5
608575,0.0,0,3,7,20,2,5
641831,3.88,0,2,8,27,2,5
650178,2.37,0,3,10,4,2,4
628023,5.01,0,3,6,26,2,6
605806,0.0,0,3,12,24,3,7
608196,3.18,0,3,21,8,1,5
630962,5.49,0,7,4,28,3,6
612293,4.29,0,13,14,47,5,13
619453,5.03,0,9,5,17,3,5
635498,2.83,0,3,9,16,3,5
640533,5.28,0,3,11,29,1,5
636004,1.68,0,3,5,17,2,4
629529,3.12,0,3,7,12,1,5
635595,4.91,0,3,10,11,2,5
620531,4.95,0,3,9,19,1,5
642131,8.63,0,13,2,15,2,4
638972,3.79,0,17,6,63,4,13
603772,0.0,0,3,6,19,1,5
627188,4.14,0,3,9,19,1,6
631563,8.63,0,13,2,34,2,8
624481,5.18,0,6,4,59,4,9
627043,6.7,0,13,4,36,3,11
632604,3.03,0,3,13,17,1,5
645494,1.26,0,6,5,4,2,5
640913,4.82,0,3,11,30,2,7
620793,4.62,0,3,7,28,4,6
632348,4.8,0,3,10,25,2,5
650380,5.2,0,3,8,22,3,6
611680,4.53,0,3,9,12,1,3
647209,3.6,0,3,4,14,1,4
636541,3.63,0,3,7,13,1,4
627103,2.66,0,2,12,26,3,8
641441,3.42,0,15,4,35,5,10
645419,4.65,0,3,5,31,5,9
650948,4.95,0,3,10,25,3,6
629222,5.34,0,3,3,25,3,6
611450,4.68,0,3,7,28,2,6
643870,4.72,0,3,10,33,1,7
611171,4.58,0,8,2,51,4,9
606024,4.01,0,3,11,6,2,3
620504,3.0,0,2,7,8,3,5
643111,4.29,0,3,10,15,1,4
628176,2.62,0,2,9,12,1,4
605964,4.16,0,3,12,24,2,5
645443,5.16,0,9,9,27,3,6
642106,3.33,0,13,4,17,2,6
